Real Emotion,Predicted Emotion,Tweet
Empty,Neutral,"18000008,President @realDonaldTrump https://t.co/HXCpTlruVo
"
Love,Happiness,"18000009,""Thank you @GOPLeader Kevin McCarthy! Couldn’t agree w/you more. TOGETHER, we are #MAGA🇺🇸 https://t.co/QaxtqpyXTR""
"
Worry,Enthusiasm,"18000010,""As I made very clear today, our country needs the security of the Wall on the Southern Border, which must be part of any DACA approval.""
"
Anger,Enthusiasm,"18000020,African American unemployment is the lowest ever recorded in our country. The Hispanic unemployment rate dropped a full point in the last year and is close to the lowest in recorded history. Dems did nothing for you but get your vote!  #NeverForget  @foxandfriends
"
Boredom,Neutral,"18000026,""I’ve had to put up with the Fake News from the first day I announced that I would be running for President. Now I have to put up with a Fake Book, written by a totally discredited author. Ronald Reagan had the same problem and handled it well. So will I!""
"
Worry,Empty,"18000033,""Michael Wolff is a total loser who made up stories in order to sell this really boring and untruthful book. He used Sloppy Steve Bannon, who cried when he got fired and begged for his job. Now Sloppy Steve has been dumped like a dog by almost everyone. Too bad! https://t.co/mEeUhk5ZV9""
"
Worry,Neutral,"18000046,""Many mostly Democrat States refused to hand over data from the 2016 Election to the Commission On Voter Fraud. They fought hard that the Commission not see their records or methods because they know that many people are voting illegally. System is rigged, must go to Voter I.D.""
"
Empty,Enthusiasm,"18000047,MAKE AMERICA GREAT AGAIN!
"
Boredom,Enthusiasm,"18000049,""“Some 40 U.S. companies have responded to President Trump’s tax cut and reform victory in Congress last year by handing out bonuses up to $2,000, increases in 401k matches and spending on charity, a much higher number than previously known.” https://t.co/bmWrwWzxMR""
"
Relief,Neutral,"18000052,Such respect for the people of Iran as they try to take back their corrupt government. You will see great support from the United States at the appropriate time!
"
Hate,Neutral,"18000060,""Democrats are doing nothing for DACA - just interested in politics.  DACA activists and Hispanics will go hard against Dems, will start “falling in love” with Republicans and their President! We are about RESULTS.""
"
Worry,Neutral,"18000061,""....impartial journalists of a much higher standard, lose all of your phony and non-existent “sources,” and treat the President of the United States FAIRLY, so that the next time I (and the people) win, you won’t have to write an apology to your readers for a job poorly done! GL""
"
Hate,Happiness,"18000078,""If the Dems (Crooked Hillary) got elected, your stocks would be down 50% from values on Election Day. Now they have a great future - and just beginning! https://t.co/9TzSC8F8vY""
"
Empty,Neutral,"18000080,“Trump Rally: Stocks put 2017 in the record books” https://t.co/0foQGaFjMh
"
Happiness,Enthusiasm,"18000091,""Together, we are MAKING AMERICA GREAT AGAIN! https://t.co/OeyTdFyl1Q https://t.co/wdLQkfdy4m""
"
Surprise,Neutral,"18000096,""“Arrests of MS-13 Members, Associates Up 83% Under Trump” ""
"
Relief,Enthusiasm,"18000102,""Based on the fact that the very unfair and unpopular Individual Mandate has been terminated as part of our Tax Cut Bill, which essentially Repeals (over time) ObamaCare, the Democrats &amp; Republicans will eventually come together and develop a great new HealthCare plan!""
"
Surprise,Happiness,"18000111,""The Stock Market is setting record after record and unemployment is at a 17 year low. So many things accomplished by the Trump Administration, perhaps more than any other President in first year. Sadly, will never be reported correctly by the Fake News Media!""
"
Hate,Enthusiasm,"18000115,""Remember, the most hated part of ObamaCare is the Individual Mandate, which is being terminated under our just signed Tax Cut Bill.""
"
Love,Happiness,"18000126,""THANK YOU to everyone who joined me at the @WhiteHouse yesterday. Together, we are MAKING AMERICA GREAT AGAIN! https://t.co/9HgcBKDSxo https://t.co/dTMU8OwmWB""
"
Love,Happiness,"18000128,Home Sales hit BEST numbers in 10 years! MAKE AMERICA GREAT AGAIN
"
Love,Enthusiasm,"18000131,WE ARE MAKING AMERICA GREAT AGAIN! https://t.co/HY353gXV0R
"
Love,Enthusiasm,"18000134,""Together, we are MAKING AMERICA GREAT AGAIN! https://t.co/47k9i4p3J2""
"
Love,Happiness,"18000138,""Congratulations to Paul Ryan, Kevin McCarthy, Kevin Brady, Steve Scalise, Cathy McMorris Rodgers and all great House Republicans who voted in favor of cutting your taxes!""
"
Worry,Enthusiasm,"18000139,A  story in the @washingtonpost that I was close to “rescinding” the nomination of Justice Gorsuch prior to confirmation is FAKE NEWS. I never even wavered and am very proud of him and the job he is doing as a Justice of the U.S. Supreme Court. The unnamed sources don’t exist!
"
Enthusiasm,Neutral,"18000143,""With the strategy that I announced today, we are declaring that AMERICA is in the game and AMERICA is DETERMINED to WIN!""
"
Surprise,Happiness,"18000148,""As the world watches, we are days away from passing HISTORIC TAX CUTS for American families and businesses. It will be the BIGGEST TAX CUT and TAX REFORM in the HISTORY of our country! https://t.co/EvcAkjuf8w""
"
Neutral,Empty,"18000154,Ivanka Trump will be interviewed on @foxandfriends.
"
Empty,Neutral,"18000155,""Remember, Republicans are 5-0 in Congressional Races this year. The media refuses to mention this. I said Gillespie and Moore would lose (for very different reasons), and they did. I also predicted  “I” would win. Republicans will do well in 2018, very well! @foxandfriends""
"
Neutral,Happiness,"18000159,WEEKLY ADDRESS🇺🇸 https://t.co/1sH20Hb33x
"
Love,Enthusiasm,"18000162,""Great job Kevin, we are all proud of you! https://t.co/K6hEEaOxKt""
"
Enthusiasm,Neutral,"18000163,""DOW, S&amp;P 500 and NASDAQ close at record highs! #MAGA https://t.co/hvqwnqSGuG""
"
Enthusiasm,Love,"18000165,""I am honored to serve as your Commander-in-Chief. On behalf of an entire Nation, THANK YOU for your sacrifice and service. We love you! https://t.co/eLOTc7do52""
"
Enthusiasm,Sadness,"18000167,""Thank you to our police, thank you to our sheriffs, and thank you to our law enforcement families. God Bless you all, and GOD BLESS AMERICA! #LESM https://t.co/9ejiddVL9h""
"
Empty,Happiness,"18000169,It was my honor. THANK YOU! https://t.co/1LvqbRQ1bi
"
Worry,Enthusiasm,"18000172,""Today, we CUT THE RED TAPE! It is time to SET FREE OUR DREAMS and MAKE AMERICA GREAT AGAIN! https://t.co/teAVNzjvcx""
"
Worry,Enthusiasm,"18000173,""When Americans are free to thrive, innovate, &amp; prosper, there is no challenge too great, no task too large, &amp; no goal beyond our reach. ""
"
Happiness,Neutral,"18000177,""Republican Tax Cuts are looking very good. All are working hard. In the meantime, the Stock Market hit another record high!""
"
Worry,Fun,"18000180,""Wow, more than 90% of Fake News Media coverage of me is negative, with numerous forced retractions of untrue stories. Hence my use of Social Media, the only way to get the truth out. Much of Mainstream Meadia has become a joke! @foxandfriends""
"
Happiness,Enthusiasm,"18000185,""The people of Alabama will do the right thing. Doug Jones is Pro-Abortion, weak on Crime, Military and Illegal Immigration, Bad for Gun Owners and Veterans and against the WALL. Jones is a Pelosi/Schumer Puppet. Roy Moore will always vote with us. VOTE ROY MOORE!""
"
Worry,Sadness,"18000189,""Very little discussion of all the purposely false and defamatory stories put out this week by the Fake News Media. They are out of control - correct reporting means nothing to them. Major lies written, then forced to be withdrawn after they are exposed...a stain on America!""
"
Sadness,Neutral,"18000191,""Things are going really well for our economy, a subject the Fake News spends as little time as possible discussing! Stock Market hit another RECORD HIGH, unemployment is now at a 17 year low and companies are coming back into the USA. Really good news, and much more to come!""
"
Worry,Enthusiasm,"18000192,No American should be separated from their loved ones because of preventable crime committed by those illegally in our country. Our cities should be Sanctuaries for Americans – not for criminal aliens! https://t.co/CvtkCG1pln
"
Worry,Anger,"18000194,"".@daveweigel of the Washington Post just admitted that his picture was a FAKE (fraud?) showing an almost empty arena last night for my speech in Pensacola when, in fact, he knew the arena was packed (as shown also on T.V.). FAKE NEWS, he should be fired.""
"
Enthusiasm,Happiness,"18000196,""Have a great game today, @USArmy and @USNavy - I will be watching. ""
"
Worry,Neutral,"18000201,""CNN’S slogan is CNN, THE MOST TRUSTED NAME IN NEWS. Everyone knows this is not true, that this could, in fact, be a fraud on the American Public. There are many outlets that are far more trusted than Fake News CNN. Their slogan should be CNN, THE LEAST TRUSTED NAME IN NEWS!""
"
Love,Happiness,"18000207,""MERRY CHRISTMAS and THANK YOU Pensacola, Florida! https://t.co/geWGzpzRp6""
"
Enthusiasm,Neutral,"18000209,""On my way to Pensacola, Florida. See everyone soon! #MAGA https://t.co/ijwxVSYQ52""
"
Worry,Relief,"18000213,""Fines and penalties against Wells Fargo Bank for their bad acts against their customers and others will not be dropped, as has incorrectly been reported, but will be pursued and, if anything, substantially increased. I will cut Regs but make penalties severe when caught cheating!""
"
Sadness,Neutral,"18000220,“REMEMBER PEARL HARBOR.” https://t.co/dfev02TwIr
"
Sadness,Neutral,"18000222,""Today, the U.S. flag flies at half-staff at the @WhiteHouse, in honor of National Pearl Harbor Remembrance Day. https://t.co/LkXsBx2JF8 https://t.co/ogmpydr5LK""
"
Love,Enthusiasm,"18000231,MAKE AMERICA GREAT AGAIN!
"
Love,Happiness,"18000237,""With the great vote on Cutting Taxes, this could be a big day for the Stock Market - and YOU!""
"
Worry,Enthusiasm,"18000238,""Putting Pelosi/Schumer Liberal Puppet Jones into office in Alabama would hurt our great Republican Agenda of low on taxes, tough on crime, strong on military and borders...&amp; so much more. Look at your 401-k’s since Election. Highest Stock Market EVER! Jobs are roaring back!""
"
Neutral,Enthusiasm,"18000239,""Democrats refusal to give even one vote for massive Tax Cuts is why we need Republican Roy Moore to win in Alabama. We need his vote on stopping crime, illegal immigration, Border Wall, Military, Pro Life, V.A., Judges 2nd Amendment and more. No to Jones, a Pelosi/Schumer Puppet!""
"
Worry,Enthusiasm,"18000240,Report: “ANTI-TRUMP FBI AGENT LED CLINTON EMAIL PROBE”  Now it all starts to make sense!
"
Worry,Enthusiasm,"18000242,""After years of Comey, with the phony and dishonest Clinton investigation (and more), running the FBI, its reputation is in Tatters - worst in History! But fear not, we will bring it back to greatness.""
"
Worry,Anger,"18000245,I never asked Comey to stop investigating Flynn. Just more Fake News covering another Comey lie!
"
Worry,Neutral,"18000248,""So General Flynn lies to the FBI and his life is destroyed, while Crooked Hillary Clinton, on that now famous FBI holiday “interrogation” with no swearing in and no recording, lies many times...and nothing happens to her? Rigged system, or just a double standard?""
"
Worry,Happiness,"18000249,Great job First Lady Melania! https://t.co/TRuvaftPcD
"
Neutral,Happiness,"18000254,Economists on the TAX CUTS and JOBS ACT:
"
Worry,Neutral,"18000256,""The media has been speculating that I fired Rex Tillerson or that he would be leaving soon - FAKE NEWS! He’s not leaving and while we disagree on certain subjects, (I call the final shots) we work well together and America is highly respected again!""
"
Worry,Enthusiasm,"18000260,""The Kate Steinle killer came back and back over the weakly protected Obama border, always committing crimes and being violent, and yet this info was not used in court. His exoneration is a complete travesty of justice. BUILD THE WALL!""
"
Worry,Happiness,"18000261,A disgraceful verdict in the Kate Steinle case! No wonder the people of our Country are so angry with Illegal Immigration.
"
Happiness,Neutral,"18000264,Today is a day that I’ve been looking very much forward to ALL YEAR LONG. It is one that you have heard me speak about many times before. 
"
Love,Enthusiasm,"18000270,Thank you @SenOrrinHatch. Let’s continue MAKING AMERICA GREAT AGAIN! https://t.co/PIv9OAVZcf https://t.co/6egRvuwj1l
"
Relief,Neutral,"18000272,Stock Market hits new Record High. Confidence and enthusiasm abound. More great numbers coming out!
"
Worry,Enthusiasm,"18000275,""The Failing @nytimes, the pipe organ for the Democrat Party, has become a virtual lobbyist for them with regard to our massive Tax Cut Bill. They are wrong so often that now I know we have a winner!""
"
Worry,Neutral,"18000277,""“Had the information (Crooked Hillary’s emails) been released there would have been harm to National Security....""""""
"
Sadness,Neutral,"18000280,The only people who don’t like the Tax Cut Bill are the people that don’t understand it or the Obstructionist Democrats that know how really good it is and do not want the credit and success to go to the Republicans!
"
Worry,Love,"18000281,The House of Representatives seeks contempt citations(?) against the JusticeDepartment and the FBI for withholding key documents and an FBI witness which could shed light on surveillance of associates of Donald Trump. Big stuff. Deep State. Give this information NOW! @FoxNews
"
Worry,Empty,"18000282,"".@Theresa_May, don’t focus on me, focus on the destructive Radical Islamic Terrorism that is taking place within the United Kingdom. We are doing just fine!""
"
Worry,Neutral,"18000297,""Great, and we should boycott Fake News CNN. Dealing with them is a total waste of time! https://t.co/8zJ3j7g5el""
"
Worry,Anger,"18000310,""At least 24 players kneeling this weekend at NFL stadiums that are now having a very hard time filling up. The American public is fed up with the disrespect the NFL is paying to our Country, our Flag and our National Anthem. Weak and out of control!""
"
Surprise,Neutral,"18000312,New home sales reach a 10 year high. Stock Market has more record gains. Hopefully Republican Senators will give us the much needed Tax Cuts to keep it all going! Democrats want big Tax Increases.
"
Fun,Neutral,"18000320,""Wow, even I didn’t realize we did so much. Wish the Fake News would report! Thank you. https://t.co/ApVbu2b0Jd""
"
Worry,Neutral,"18000321,"".@FoxNews is MUCH more important in the United States than CNN, but outside of the U.S., CNN International is still a major source of (Fake) news, and they represent our Nation to the WORLD very poorly. The outside world does not see the truth from them!""
"
Neutral,Empty,"18000324,Happy #SmallBusinessSaturday!
"
Empty,Happiness,"18000332,Two great people! https://t.co/5cVnMhnmuH
"
Worry,Enthusiasm,"18000354,Republican Senators are working very hard to get Tax Cuts and Tax Reform approved. Hopefully it will not be long and they do not want to disappoint the American public!
"
Relief,Enthusiasm,"18000367,""Great numbers on Stocks and the Economy. If we get Tax Cuts and Reform, we'll really see some great results!""
"
Anger,Neutral,"18000370,""Big win today in the House for GOP Tax Cuts and Reform, 227-205. Zero Dems, they want to raise taxes much higher, but not for our military!""
"
Relief,Enthusiasm,"18000376,Big vote tomorrow in the House. Tax cuts are getting close!
"
Anger,Empty,"18000381,Do you think the three UCLA Basketball Players will say thank you President Trump? They were headed for 10 years in jail!
"
Empty,Neutral,"18000383,""Thank you, working hard! https://t.co/TmNdNPBJ3m""
"
Neutral,Empty,"18000388,THANK YOU ASIA! #USA🇺🇸 https://t.co/FziKSbrzcu
"
Relief,Enthusiasm,"18000394,Great to see @RandPaul looking well and back on the Senate floor. He will help us with TAX CUTS and REFORM!
"
Empty,Neutral,"18000403,""Just landed in the Philippines after a great day of meetings and events in Hanoi, Vietnam! https://t.co/YxHRNhhPWo""
"
Empty,Neutral,"18000436,Join me LIVE in South Korea🇺🇸🇰🇷
"
Empty,Enthusiasm,"18000445,....and has been horrible on Virginia economy. Vote @EdWGillespie today!
"
Neutral,Happiness,"18000447,""....is making. Working very hard on TAX CUTS for the middle class, companies and jobs!""
"
Fun,Happiness,"18000450,""It was my great honor to have lunch with our INCREDIBLE U.S. and ROK troops at Camp Humphreys, in South Korea. 🇺🇸🇰🇷 https://t.co/5NJirz4iNM https://t.co/kNLyONhBCC""
"
Enthusiasm,Neutral,"18000453,""Getting ready to leave for South Korea and meetings with President Moon, a fine gentleman. We will figure it all out!""
"
Empty,Happiness,"18000466,Thank you to our GREAT Military/Veterans and @PacificCommand.
"
Empty,Happiness,"18000468,A day I’ll never forget. https://t.co/CMkB0kTkSc
"
Empty,Happiness,"18000472,""JOBS, JOBS, JOBS! https://t.co/twUNktGbnb""
"
Enthusiasm,Neutral,"18000474,""Just took off for ceremony @ Pearl Harbor. Will then be heading to Japan, SKorea, China, Vietnam &amp; the Philippines. Will never let you down!""
"
Neutral,Happiness,"18000492,""Today, we are thrilled to welcome @Broadcom CEO Hock Tan to the WH to announce he is moving their HQ’s from Singapore back to the U.S.A..... https://t.co/WrqUXBndyZ""
"
Neutral,Happiness,"18000495,""Congratulations to the Houston @Astros, 2017 #WorldSeries Champions⚾️#HoustonStrong #EarnHistory https://t.co/BP7OEzdhFi""
"
Neutral,Happiness,"18000500,""Happy birthday to @garyplayer, a truly great Champion and Person!""
"
Anger,Enthusiasm,"18000504,""CHAIN MIGRATION must end now! Some people come in, and they bring their whole family with them, who can be truly evil. NOT ACCEPTABLE! https://t.co/PQGeTTdRtX""
"
Empty,Enthusiasm,"18000511,....for the Middle Class. The House and Senate should consider ASAP as the process of final approval moves along. Push Biggest Tax Cuts EVER
"
Fun,Happiness,"18000512,Wouldn't it be great to Repeal the very unfair and unpopular Individual Mandate in ObamaCare and use those savings for further Tax Cuts.....
"
Empty,Neutral,"18000523,Up📈7.8% past year. 
"
Empty,Enthusiasm,"18000524,Down📉31.5% last 10 years. 
"
Empty,Happiness,"18000539,Great job by MichaelCaputo on @foxandfriends.
"
Worry,Neutral,"18000540,""Report out that Obama Campaign paid $972,000 to Fusion GPS. The firm also got $12,400,000 (really?) from DNC. Nobody knows who OK'd!""
"
Worry,Enthusiasm,"18000541,""All of this """"Russia"""" talk right when the Republicans are making their big push for historic Tax Cuts &amp; Reform. Is this coincidental? NOT!""
"
Worry,Neutral,"18000554,Just read the nice remarks by President Jimmy Carter about me and how badly I am treated by the press (Fake News). Thank you Mr. President!
"
Empty,Neutral,"18000558,NOW WE KNOW! https://t.co/SgWL1HZmkI
"
Relief,Happiness,"18000564,""Diane Black of Tennessee, the highly respected House Budget Committee Chairwoman, did a GREAT job in passing Budget, setting up big Tax Cuts""
"
Hate,Enthusiasm,"18000572,""Wacky &amp; totally unhinged Tom Steyer, who has been fighting me and my Make America Great Again agenda from beginning, never wins elections!""
"
Relief,Happiness,"18000575,Big news - Budget just passed!
"
